id,Sección,Sub-sección,Indicador,Categoría,Segmentación,Grupo,%,N Base,N,Página,Tabla,Fuente_tipo,Tipo_pregunta,N_Base_tipo,Nota
1,Perfil de la muestra,,Género,Varones,Total,,50,11421,5710,14,Gráfico 1,Gráfico,Única,Explícita,Otra identidad de género y Prefiero no decirlo quedan excluidas por el propio informe de las comparativas por género.
2,Perfil de la muestra,,Género,Mujeres,Total,,47,11421,5368,14,Gráfico 1,Gráfico,Única,Explícita,Otra identidad de género y Prefiero no decirlo quedan excluidas por el propio informe de las comparativas por género.
3,Perfil de la muestra,,Género,Otra identidad de género,Total,,1,11421,114,14,Gráfico 1,Gráfico,Única,Explícita,Otra identidad de género y Prefiero no decirlo quedan excluidas por el propio informe de las comparativas por género.
4,Perfil de la muestra,,Género,Prefiero no decirlo,Total,,2,11421,228,14,Gráfico 1,Gráfico,Única,Explícita,Otra identidad de género y Prefiero no decirlo quedan excluidas por el propio informe de las comparativas por género.
5,Perfil de la muestra,,Edad,13 años,Total,,17,11421,1942,14,Gráfico 2,Gráfico,Única,Explícita,
6,Perfil de la muestra,,Edad,14 años,Total,,17,11421,1942,14,Gráfico 2,Gráfico,Única,Explícita,
7,Perfil de la muestra,,Edad,15 años,Total,,21,11421,2398,14,Gráfico 2,Gráfico,Única,Explícita,
8,Perfil de la muestra,,Edad,16 años,Total,,18,11421,2056,14,Gráfico 2,Gráfico,Única,Explícita,
9,Perfil de la muestra,,Edad,17 años,Total,,19,11421,2170,14,Gráfico 2,Gráfico,Única,Explícita,
10,Perfil de la muestra,,Edad,18 años,Total,,9,11421,1028,14,Gráfico 2,Gráfico,Única,Explícita,
11,Perfil de la muestra,,Zona de residencia,AMBA,Total,,29,11421,3312,15,Tabla 1,Tabla,Única,Explícita,
12,Perfil de la muestra,,Zona de residencia,Centro,Total,,32,11421,3655,15,Tabla 1,Tabla,Única,Explícita,
13,Perfil de la muestra,,Zona de residencia,Cuyo,Total,,8,11421,914,15,Tabla 1,Tabla,Única,Explícita,
14,Perfil de la muestra,,Zona de residencia,NEA,Total,,12,11421,1371,15,Tabla 1,Tabla,Única,Explícita,
15,Perfil de la muestra,,Zona de residencia,NOA,Total,,13,11421,1485,15,Tabla 1,Tabla,Única,Explícita,
16,Perfil de la muestra,,Zona de residencia,Patagonia,Total,,6,11421,685,15,Tabla 1,Tabla,Única,Explícita,
17,Perfil de la muestra,,Gestión escolar,Estatal,Total,,72,11421,8223,15,,Texto,Única,Explícita,No se usó como variable de cruce en el resto del informe.
18,Perfil de la muestra,,Gestión escolar,Privada,Total,,28,11421,3198,15,,Texto,Única,Explícita,No se usó como variable de cruce en el resto del informe.
19,Familiaridad con las apuestas online,,Experiencia con las apuestas online,Suelo participar o alguna vez participé de apuestas online,Total,,16,11421,1827,16,Gráfico 3,Gráfico,Única,Explícita,
